transaction_id,customer_id,account_type,region,category,merchant,amount,currency,timestamp,memo,is_flagged
TXN000001,Customer_0378,checking,Southwest,dining,Chipotle,1241.26,USD,2023-03-31T18:27:00,Morning coffee and pastry at Chipotle,False
TXN000002,Customer_0333,credit,Southwest,dining,Starbucks,-103.42,USD,2024-03-05T07:28:00,"Lunch with the team at Starbucks, celebrated Q3 results",False
TXN000003,Customer_0111,savings,Northeast,groceries,Trader Joe's,1904.65,USD,2023-04-05T12:06:00,"Monthly bulk purchase at Trader Joe's, household supplies",False
TXN000004,Customer_0275,checking,West,healthcare,Urgent Care Now,3633.04,USD,2023-03-22T17:18:00,Annual physical copay at Urgent Care Now,False
TXN000005,Customer_0339,checking,Midwest,rent,Metro Realty,869.34,USD,2023-03-23T07:55:00,Lease renewal fee at Metro Realty,False
TXN000006,Customer_0182,checking,Midwest,entertainment,Steam,3754.33,USD,2023-03-15T19:40:00,Movie tickets at Steam — family outing,False
TXN000007,Customer_0328,credit,Southwest,utilities,Comcast Xfinity,1710.65,USD,2023-08-13T21:20:00,Comcast Xfinity electricity bill for the apartment,False
TXN000008,Customer_0034,checking,Southwest,groceries,Trader Joe's,3623.68,USD,2023-11-19T06:41:00,"Weekly grocery run at Trader Joe's, stocked up on essentials",False
TXN000009,Customer_0276,savings,Southwest,education,Udemy,632.64,USD,2024-03-14T18:25:00,Textbook purchase at Udemy for continuing ed,False
TXN000010,Customer_0322,checking,West,travel,Hertz,-59.28,USD,2023-03-07T12:24:00,Hotel stay at Hertz during product summit,False
TXN000011,Customer_0006,credit,Northeast,education,Barnes & Noble,4370.0,USD,2023-10-01T20:21:00,Textbook purchase at Barnes & Noble for continuing ed,False
TXN000012,Customer_0369,savings,Southwest,shopping,Target,19.59,USD,2023-07-02T16:58:00,In-store purchase at Target — seasonal wardrobe,False
TXN000013,Customer_0083,credit,Southwest,entertainment,Apple iTunes,899.11,USD,2023-01-01T19:20:00,Movie tickets at Apple iTunes — family outing,False
TXN000014,Customer_0291,checking,Northeast,dining,The Cheesecake Factory,1081.34,USD,2024-05-12T02:48:00,"Client dinner at The Cheesecake Factory, discussed Q4 roadmap",False
TXN000015,Customer_0136,credit,Southwest,travel,Marriott Hotels,2141.39,USD,2024-03-09T06:59:00,Car rental from Marriott Hotels for client site visit,False
TXN000016,Customer_0225,credit,West,utilities,ConEdison,4478.2,USD,2023-05-04T07:14:00,ConEdison electricity bill for the apartment,False
TXN000017,Customer_0037,credit,Northeast,groceries,Aldi,1039.37,USD,2023-08-23T02:57:00,"Monthly bulk purchase at Aldi, household supplies",False
TXN000018,Customer_0110,credit,Southeast,healthcare,CVS Pharmacy,1074.83,USD,2024-04-29T07:50:00,Lab work order from CVS Pharmacy,False
TXN000019,Customer_0217,savings,West,shopping,Target,440.7,USD,2023-02-25T21:41:00,Online order from Target — home office equipment,False
TXN000020,Customer_0056,checking,Southeast,dining,Chipotle,3278.32,USD,2023-07-14T17:28:00,"Client dinner at Chipotle, discussed Q4 roadmap",False
TXN000021,Customer_0227,credit,Northeast,travel,Uber,1127.88,USD,2023-02-21T20:34:00,Hotel stay at Uber during product summit,False
TXN000022,Customer_0443,savings,Northeast,dining,Starbucks,1831.83,USD,2023-06-18T12:00:00,"Lunch with the team at Starbucks, celebrated Q3 results",False
TXN000023,Customer_0402,credit,West,entertainment,Steam,1906.42,USD,2023-06-08T06:18:00,In-app purchase on Steam platform,False
TXN000024,Customer_0030,checking,Southwest,groceries,Aldi,2442.17,USD,2024-05-03T16:58:00,"Monthly bulk purchase at Aldi, household supplies",False
TXN000025,Customer_0305,checking,Southeast,travel,Delta Airlines,365.1,USD,2024-02-18T03:56:00,Car rental from Delta Airlines for client site visit,False
TXN000026,Customer_0299,credit,Southwest,rent,First Place Rentals,2789.12,USD,2023-11-20T08:13:00,Monthly rent payment to First Place Rentals,False
TXN000027,Customer_0154,savings,Midwest,healthcare,Walgreens,1784.06,USD,2023-03-16T00:29:00,Annual physical copay at Walgreens,False
TXN000028,Customer_0068,savings,Northeast,rent,Apartment LLC,2421.67,USD,2023-09-08T11:18:00,Monthly rent payment to Apartment LLC,False
TXN000029,Customer_0271,checking,Southwest,insurance,Progressive,4427.42,USD,2023-11-03T21:06:00,Life insurance premium payment to Progressive,False
TXN000030,Customer_0080,savings,Midwest,travel,Uber,4004.26,USD,2023-08-04T22:21:00,Flight to Chicago via Uber for annual conference,False
TXN000031,Customer_0027,checking,West,entertainment,Apple iTunes,1133.79,USD,2023-10-11T01:00:00,In-app purchase on Apple iTunes platform,False
TXN000032,Customer_0219,credit,Northeast,travel,Uber,3336.83,USD,2023-04-25T02:56:00,Flight to Chicago via Uber for annual conference,False
TXN000033,Customer_0076,savings,Southeast,travel,Hertz,3756.5,USD,2023-02-12T09:23:00,Flight to Chicago via Hertz for annual conference,False
TXN000034,Customer_0182,credit,West,groceries,Walmart Grocery,3070.89,USD,2023-06-08T07:55:00,"Weekly grocery run at Walmart Grocery, stocked up on essentials",False
TXN000035,Customer_0401,savings,Southeast,travel,Airbnb,811.23,USD,2023-10-01T05:50:00,Flight to Chicago via Airbnb for annual conference,False
TXN000036,Customer_0236,savings,Midwest,shopping,Amazon,1004.84,USD,2023-08-22T07:01:00,In-store purchase at Amazon — seasonal wardrobe,False
TXN000037,Customer_0143,savings,Southwest,shopping,Best Buy,3890.27,USD,2024-02-14T21:53:00,In-store purchase at Best Buy — seasonal wardrobe,False
TXN000038,Customer_0136,checking,Northeast,groceries,Whole Foods,807.66,USD,2024-03-20T11:46:00,Quick stop at Whole Foods for produce and dairy,False
TXN000039,Customer_0098,savings,Northeast,shopping,Zara,524.83,USD,2024-03-22T00:33:00,Flash sale purchase at Zara,False
TXN000040,Customer_0472,savings,Southwest,insurance,State Farm,1943.68,USD,2023-11-18T21:54:00,State Farm renters insurance quarterly payment,False
TXN000041,Customer_0357,savings,Southwest,entertainment,Apple iTunes,3002.68,USD,2023-05-11T06:26:00,In-app purchase on Apple iTunes platform,False
TXN000042,Customer_0427,checking,Midwest,shopping,Target,2563.13,USD,2023-10-21T06:27:00,Flash sale purchase at Target,False
